playerId,playerUrl,name,fullName,dateOfBirth,age,placeOfBirth,countryOfBirth,position,currentClub,nationalTeam,numOfAppsClub,numOfGoalsClub,numOfAppsNational,numOfGoalsNational,Timestamp
bf3363d0-f138-4432-85ad-c9a85e291e35,https://en.wikipedia.org/wiki/Kostas_Tsimikas,Kostas Tsimikas,Konstantinos Tsimikas,1996-05-12,26,Thessaloniki,Greece,Left-back,Liverpool,Greece,25,0,24,0,1671586436.6686115
ef974290-28bf-4212-be0e-9fc45f73924e,https://en.wikipedia.org/wiki/Mois%C3%A9s_Caicedo,Moisés Caicedo,Moisés Isaac Caicedo Corozo,2001-11-02,21,Santo Domingo,Ecuador,Midfielder,Brighton & Hove Albion,Ecuador,12,1,28,3,1671586436.7703176
6fb8b20e-6035-4ecc-acb1-6859fb7c2668,https://en.wikipedia.org/wiki/Casemiro,Casemiro,Carlos Henrique Casimiro,1992-02-23,30,São José dos Campos,,Defensive midfielder,Manchester United,Brazil,11,1,69,6,1671586436.850094
462bb657-e011-4961-bc7d-3f0e709e9487,https://en.wikipedia.org/wiki/Hussein_Mohamed_(footballer),Hussein Mohamed,Hussein Abdikarim Mohamed,1997-03-20,25,Mogadishu,Somalia,Winger,,Somalia,10,0,8,0,1671586436.975761
46073cd0-7379-4d69-9515-75d6d4f366fa,https://en.wikipedia.org/wiki/Luis_Miguel_Rodr%C3%ADguez_(footballer),Pulga Rodriguez,Luis Miguel Rodríguez,1985-01-01,37,Simoca,,Second striker,Colón,Argentina,11,9,1,0,1671586436.9887252
1387b445-0341-4820-a528-b89d0a3c8641,https://en.wikipedia.org/wiki/Eli_Babalj,Eli Babalj,Eli Babalj,1992-02-21,30,Sarajevo,SFR Yugoslavia,Striker,,Australia,10,1,2,2,1671586437.0056784
9d1fc158-d304-42ff-8f18-063b5bbb5542,https://en.wikipedia.org/wiki/Federico_Fazio,Federico Fazio,Federico Julián Fazio,1987-03-17,35,Buenos Aires,Argentina,Centre-back,Salernitana,Argentina,25,2,10,1,1671586437.0994272
1f302f6b-26a5-4f85-a4cb-3bac44ae1485,https://en.wikipedia.org/wiki/Mohamed_Abou_Gabal,Mohamed Abou Gabal,Mohamed Qotb Abou Gabal Ali,1989-01-29,33,Asyut,Egypt,Goalkeeper,National Bank of Egypt,Egypt,0,0,8,0,1671586437.1848185
527c03f1-4d2d-4ba7-9c6d-b771d82898aa,https://en.wikipedia.org/wiki/Jules_Kound%C3%A9,Jules Koundé,Jules Olivier Koundé,1998-11-12,24,,,Centre-back,Barcelona,France,7,0,18,0,1671586437.2077587
56f294fd-2a77-47e0-a0e2-ea8874b07579,https://en.wikipedia.org/wiki/Luiz_Gustavo,Luiz Gustavo,Luiz Gustavo Dias,1987-07-23,35,Pindamonhangaba,Brazil,Defensive midfielder,Al-Nassr,Brazil,8,4,41,2,1671586437.2466543
